8 JAN 21  (4)  100 (Weeklys)
,,Delta,Bid,Ask,Strike,Bid,Ask,Delta,,
,,.00,-3.80,5.80,131 / 132,-.01,.01,.00,,
,,.00,-3.80,5.80,132 / 133,-.01,.01,.00,,
,,-.0002,-3.75,5.80,133 / 134,-.01,.01,.00,,
,,-.0002,-2.20,4.25,134 / 135,-.01,.01,.00,,
,,.00,-.70,2.70,135 / 136,-.01,.01,.00,,
,,.00,-.70,2.70,136 / 137,-.01,.01,.00,,
,,.00,-.70,2.70,137 / 138,-.01,.01,.00,,
,,.00,-.70,2.70,138 / 139,-.01,.01,.00,,
,,.00,-.70,2.70,139 / 140,-.01,.01,.00,,
,,.00,-.70,2.70,140 / 141,-.01,.01,.00,,
,,.00,-.70,2.70,141 / 142,-.01,.01,.00,,
,,.00,-.70,2.70,142 / 143,-.01,.01,.00,,
,,.00,-.70,2.70,143 / 144,-.01,.01,.00,,
,,.0004,-2.30,4.20,144 / 145,-.01,.01,.00,,
,,.00,-3.80,5.80,145 / 146,-.01,.01,.00,,
,,.00,-3.80,5.80,146 / 147,-.01,.01,.00,,
,,.00,-3.80,5.80,147 / 148,-.01,.01,.00,,
,,-.0004,-2.20,4.30,148 / 149,-.01,.01,.00,,
,,.00,-.70,2.70,149 / 150,-.01,.01,.00,,
,,.00,-.70,2.70,150 / 151,-.01,.01,.00,,
,,.00,-.70,2.70,151 / 152,-.01,.01,.00,,
,,.00,-.70,2.70,152 / 153,-.01,.01,.00,,
,,.00,-.70,2.70,153 / 154,-.01,.01,.00,,
,,.00,-.70,2.70,154 / 155,-.01,.01,.00,,
,,.00,-.70,2.70,155 / 156,-.01,.01,.00,,
,,.00,-.70,2.70,156 / 157,-.01,.01,.00,,
,,.00,-.70,2.70,157 / 158,-.01,.01,.00,,
,,.0004,-2.30,4.20,158 / 159,-.01,.01,.00,,
,,.00,-3.30,5.30,159 / 160,-.01,.01,.00,,
,,.00,-3.30,5.30,160 / 161,-.01,.01,.00,,
,,.00,-3.80,5.80,161 / 162,-.01,.01,.00,,
,,.00,-3.80,5.80,162 / 163,-.01,.01,.00,,
,,-.0004,-2.20,4.30,163 / 164,-.01,.01,.00,,
,,.00,-.70,2.70,164 / 165,-.01,.01,.00,,
,,.00,-.70,2.70,165 / 166,-.01,.01,.00,,
,,.00,-.70,2.70,166 / 167,-.01,.01,.00,,
