This document was exported from the paperMoney® platform which provides a simulated trading environment. All data contained herein is for educational and entertainment purposes only. TD Ameritrade its subsidiaries and/or affiliates are not responsible for the accuracy of any of these exported data.

thinkBack: Stock quote and option quote for TSLA using Vertical template on 10/5/21 00:59:59

UNDERLYING
Last,Net Chng,Volume,Open,High,Low
781.53,+6.31,"30,483,341",796.50,806.9699,776.12

8 OCT 21  (4)  100 (Weeklys)
,,Delta,Bid,Ask,Strike,Bid,Ask,Delta,,
,,.0004,8.10,11.85,350 / 360,-.14,.13,.00,,
,,.0004,8.10,11.85,360 / 370,-.08,.10,-.0002,,
,,.0001,8.15,11.85,370 / 380,-.08,.05,.0001,,
,,.0007,8.10,11.80,380 / 390,-.08,.24,-.0011,,
,,.0010,8.05,11.80,390 / 400,-.17,.17,-.0001,,
,,.0004,8.10,11.85,400 / 410,-.09,.22,-.0009,,
,,.0016,8.05,11.70,410 / 420,-.17,.23,-.0005,,
,,.0002,8.20,11.80,420 / 430,-.16,.25,-.0007,,
,,.0008,8.10,11.80,430 / 440,-.18,.18,-.0002,,
,,.0014,8.00,11.80,440 / 450,-.02,.22,-.0015,,
,,.0006,8.10,11.85,450 / 460,-.06,.22,-.0012,,
,,.0009,8.10,11.80,460 / 470,-.16,.20,-.0005,,
,,.0010,8.10,11.80,470 / 480,-.08,.22,-.0012,,
,,.0016,8.00,11.80,480 / 490,-.03,.32,-.0022,,
,,.0020,8.00,11.75,490 / 500,-.09,.22,-.0013,,
,,.0015,8.05,11.80,500 / 510,-.02,.20,-.0016,,
,,.0015,8.00,11.85,510 / 520,0,.25,-.0021,,
,,.0019,8.10,11.70,520 / 530,-.21,.27,-.0011,,
,,.0027,8.15,11.55,530 / 540,.01,.51,-.0040,,
,,.0040,7.95,11.55,540 / 550,.05,.33,-.0033,,
,,.0009,3.05,6.90,550 / 555,-.15,.19,-.0008,,
,,.0021,3.20,6.55,555 / 560,-.07,.34,-.0022,,
,,.0018,3.50,6.30,560 / 565,-.11,.26,-.0015,,
,,.0027,3.50,6.15,565 / 570,-.08,.28,-.0019,,
,,.0010,3.65,6.30,570 / 575,-.07,.32,-.0022,,
,,.0026,3.65,6.05,575 / 580,-.14,.25,-.0014,,
,,.0017,3.75,6.10,580 / 585,-.06,.38,-.0027,,
,,.0024,3.50,6.25,585 / 590,-.28,.38,-.0015,,
,,.0027,3.45,6.25,590 / 595,-.11,.56,-.0036,,
,,.0028,3.45,6.25,595 / 600,-.02,.41,-.0033,,
,,.0029,3.45,6.25,600 / 605,-.23,.34,-.0018,,
,,.0027,3.55,6.20,605 / 610,-.14,.71,-.0046,,
,,.0051,3.45,5.90,610 / 615,-.15,.55,-.0036,,
,,.0034,3.60,6.05,615 / 620,-.10,.45,-.0034,,
,,.0033,3.55,6.15,620 / 625,-.25,.60,-.0036,,
,,.0051,3.40,6.00,625 / 630,-.05,.60,-.0048,,
,,.0046,3.50,6.00,630 / 635,-.15,.55,-.0041,,
,,.0045,3.50,6.05,635 / 640,-.05,.80,-.0061,,
,,.0057,3.40,5.95,640 / 645,.05,.50,-.0052,,
,,.0056,3.45,5.95,645 / 650,.15,.50,-.0058,,
,,.0052,3.70,5.80,650 / 655,0,.55,-.0055,,
,,.0070,3.55,5.65,655 / 660,0,.70,-.0064,,
,,.0054,3.65,5.90,660 / 665,.05,.65,-.0066,,
,,.0069,3.60,5.70,665 / 670,.10,.70,-.0074,,
,,.0091,3.35,5.55,670 / 675,.10,.65,-.0073,,
,,.0073,3.55,5.75,675 / 680,.15,.65,-.0078,,
,,.0081,3.50,5.70,680 / 685,.20,.65,-.0084,,
,,.0080,3.50,5.80,685 / 690,.15,.65,-.0084,,
,,.0090,3.35,5.80,690 / 695,.25,.75,-.0097,,
,,.0101,3.25,5.75,695 / 700,.25,.70,-.0099,,
,,.0107,3.25,5.70,700 / 705,.15,.75,-.0101,,
,,.0118,3.25,5.55,705 / 710,.30,.85,-.0116,,
,,.0119,3.35,5.55,710 / 715,.25,.80,-.0117,,
,,.0119,3.45,5.60,715 / 720,-.10,.90,-.0113,,
,,.0149,3.15,5.30,720 / 725,-.10,1.35,-.0138,,
,,.0146,3.25,5.45,725 / 730,.35,1.45,-.0165,,
,,.0162,3.20,5.30,730 / 735,.40,1.05,-.0160,,
,,.0169,3.35,5.20,735 / 740,-.05,1.15,-.0158,,
,,.0191,3.15,5.00,740 / 745,.10,1.70,-.0191,,
,,.0202,3.10,5.05,745 / 750,.15,1.70,-.0203,,
,,.0219,3.00,4.95,750 / 755,.60,1.85,-.0230,,
,,.0238,2.85,4.85,755 / 760,.60,1.65,-.0237,,
,,.0260,2.85,4.45,760 / 765,.80,1.90,-.0260,,
,,.0277,2.75,4.35,765 / 770,.95,2.00,-.0277,,
,,.0294,2.70,4.40,770 / 775,1.05,2.20,-.0296,,
,,.0315,2.20,3.75,775 / 780,1.15,2.40,-.0313,,
,,.0326,2.05,3.75,780 / 785,1.50,2.75,-.0327,,
,,.0334,1.70,3.50,785 / 790,1.40,3.05,-.0339,,
,,.0343,1.65,3.40,790 / 795,1.50,3.60,-.0343,,
,,.0353,1.90,2.95,795 / 800,1.70,3.85,-.0344,,
,,.0317,1.20,2.20,800 / 805,1.95,4.20,-.0333,,
,,.0342,1.40,2.50,805 / 810,2.05,4.25,-.0335,,
,,.0296,.90,1.90,810 / 815,2.40,4.50,-.0313,,
,,.0307,1.05,1.90,815 / 820,2.60,4.85,-.0285,,
,,.0287,1.05,1.50,820 / 825,2.60,4.95,-.0281,,
,,.0254,.75,1.30,825 / 830,2.80,5.15,-.0254,,
,,.0235,.60,1.20,830 / 835,2.90,5.20,-.0243,,
,,.0214,.50,1.05,835 / 840,3.10,5.40,-.0209,,
