This document was exported from the paperMoney® platform which provides a simulated trading environment. All data contained herein is for educational and entertainment purposes only. TD Ameritrade its subsidiaries and/or affiliates are not responsible for the accuracy of any of these exported data.

thinkBack: Stock quote and option quote for TSLA using Vertical template on 8/3/21 00:59:59

UNDERLYING
Last,Net Chng,Volume,Open,High,Low
709.67,+22.47,"33,615,765",700.00,726.94,698.40

6 AUG 21  (4)  100 (Weeklys)
,,Delta,Bid,Ask,Strike,Bid,Ask,Delta,,
,,.0145,3.30,5.25,635 / 640,.30,.95,-.0134,,
,,.0156,3.20,5.20,640 / 645,.55,1.15,-.0163,,
,,.0170,3.10,5.10,645 / 650,.70,1.25,-.0178,,
,,.0180,3.05,5.00,650 / 655,.55,1.20,-.0172,,
,,.0189,3.05,4.90,655 / 660,.60,1.45,-.0189,,
,,.0208,2.85,4.70,660 / 665,.75,1.70,-.0210,,
,,.0219,2.75,4.60,665 / 670,.65,1.85,-.0215,,
,,.0230,2.65,4.45,670 / 675,.85,2.10,-.0233,,
,,.0238,2.60,4.35,675 / 680,1.05,2.05,-.0241,,
,,.0251,2.40,4.15,680 / 685,1.20,2.10,-.0249,,
,,.0257,2.30,4.05,685 / 690,1.35,2.40,-.0261,,
,,.0265,2.20,3.85,690 / 695,1.40,2.55,-.0267,,
,,.0272,2.20,3.40,695 / 700,1.65,2.75,-.0274,,
,,.0275,2.20,3.15,700 / 705,1.75,2.80,-.0276,,
,,.0276,2.00,3.00,705 / 710,1.85,3.00,-.0279,,
,,.0276,1.95,2.75,710 / 715,1.95,3.25,-.0280,,
,,.0272,1.85,2.45,715 / 720,2.05,3.45,-.0278,,
,,.0274,1.80,2.55,720 / 725,2.20,3.65,-.0274,,
,,.0262,1.45,2.25,725 / 730,2.30,3.85,-.0269,,
,,.0260,1.45,2.15,730 / 735,2.45,4.05,-.0261,,
,,.0253,1.25,2.10,735 / 740,2.70,4.15,-.0250,,
,,.0468,2.40,3.25,740 / 750,6.25,7.80,-.0486,,
,,.0450,2.05,3.20,750 / 760,6.70,8.50,-.0435,,
,,.0363,1.25,2.35,760 / 770,7.05,8.95,-.0390,,
,,.0354,1.30,2.25,770 / 780,7.40,9.35,-.0340,,
,,.0276,.75,1.70,780 / 790,7.75,9.65,-.0291,,
,,.0255,.80,1.45,790 / 800,7.95,9.85,-.0255,,
,,.0202,.55,1.10,800 / 810,8.20,10.05,-.0214,,
,,.0184,.50,1.00,810 / 820,8.35,10.20,-.0183,,
,,.0144,.35,.75,820 / 830,8.50,10.35,-.0152,,
,,.0132,.34,.67,830 / 840,8.60,10.45,-.0129,,
