Event,Category,Name,Gender,Weight,Age,Country,Record,Season,Source
2000,40-49,Carol Skricki,F,Hwt,40,USA,06:48.2,2003,Race result
2000,40-49,Juliane Elander,F,Lwt,40,DEN,07:05.3,2019,Race result
2000,50-54,Andrew Benko,M,Hwt,50,USA,06:01.7,2018,Race result
2000,50-54,Klaus Bischof,M,Lwt,52,GER,06:25.0,2020,Race result
2000,50-54,Joanne Ritchie,F,Hwt,51,CAN,06:58.0,2012,Race result
2000,50-54,Justine Reston,F,Lwt,50,GBR,07:18.3,2020,Race result
2000,55-59,Thomas Darling,M,Hwt,55,USA,06:12.6,2014,Race result
2000,55-59,Mike Smith,M,Lwt,55,USA,06:29.6,2018,Race result
2000,55-59,Anne Bourlioux,F,Hwt,55,CAN,07:10.1,2016,Race result
2000,55-59,Joan Van Blom,F,Lwt,55,USA,07:30.6,2008,Race result
2000,60-64,Tom Darling,M,Hwt,60,USA,06:20.7,2019,Race result
2000,60-64,Martin Luirink,M,Lwt,61,NED,06:41.7,2021,Race result
2000,60-64,Mies Bernelot Moens,F,Hwt,62,NED,07:31.0,2008,Race result
2000,60-64,Susan Hooten,F,Lwt,62,USA,07:35.5,2015,Race result
2000,65-69,Gustave Carl Schoch,M,Hwt,65,CAN,06:33.5,2021,Race result
2000,65-69,Gérard Le Flohic,M,Lwt,66,FRA,06:46.3,2021,Race result
2000,65-69,Susan Hooten,F,Hwt,65,USA,07:40.5,2018,Race result
2000,65-69,Susan Hooten,F,Lwt,65,USA,07:44.6,2018,Race result
2000,70-74,Roger Borggaard,M,Hwt,70,USA,06:52.1,2016,Race result
2000,70-74,Rod Stewart,M,Lwt,70,AUS,06:59.9,2020,Race result
2000,70-74,Mies Bernelot Moens,F,Hwt,70,NED,08:00.8,2016,Race result
2000,70-74,Luanne Mills,F,Lwt,70,USA,08:12.7,2009,Race result
2000,75-79,George Petelin,M,Hwt,76,AUS,07:07.9,2021,Race result
