This document was exported from the paperMoney® platform which provides a simulated trading environment. All data contained herein is for educational and entertainment purposes only. TD Ameritrade its subsidiaries and/or affiliates are not responsible for the accuracy of any of these exported data.

thinkBack: Stock quote and option quote for TSLA using Vertical template on 7/7/21 00:59:59

UNDERLYING
Last,Net Chng,Volume,Open,High,Low
659.58,-19.32,"23,284,450",681.7115,684.00,651.4002

9 JUL 21  (3)  100 (Weeklys)
,,Delta,Bid,Ask,Strike,Bid,Ask,Delta,,
,,.0014,-.05,.13,985 / 990,-.95,10.95,.00,,
,,-.0013,-.13,.05,990 / 995,1.30,8.65,.00,,
,,.0019,-.02,.13,995 / 1000,1.35,8.70,.00,,
,,-.0017,-.12,.02,1000 / 1005,-.95,10.95,.00,,
,,-.0001,-.12,.11,1005 / 1010,-.95,10.95,.00,,
,,.0002,-.11,.12,1010 / 1015,-.95,10.95,.00,,
,,.00,-.12,.12,1015 / 1020,-.95,10.95,.00,,
,,-.0001,-.12,.11,1020 / 1025,1.30,8.65,.00,,
,,.00,-.11,.11,1025 / 1030,1.35,8.70,.00,,
,,.0002,-.11,.12,1030 / 1035,-.95,10.95,.00,,
,,.00,-.12,.12,1035 / 1040,-.95,10.95,.00,,
,,.0008,-.07,.12,1040 / 1045,-.95,10.95,.00,,
,,.0002,-.05,.06,1045 / 1050,-.95,10.95,.00,,
,,-.0002,-.06,.05,1050 / 1055,1.30,8.65,.00,,
,,-.0007,-.12,.07,1055 / 1060,1.35,8.70,.00,,
,,.0009,-.06,.12,1060 / 1065,-.95,10.95,.00,,
,,-.0001,-.07,.06,1065 / 1070,-.95,10.95,.00,,
,,-.0007,-.12,.07,1070 / 1075,-.95,10.95,.00,,
,,.00,-.12,.12,1075 / 1080,-.95,10.95,.00,,
,,.00,-.12,.12,1080 / 1085,1.30,8.65,.00,,
,,.00,-.12,.12,1085 / 1090,3.60,6.40,.00,,
,,.00,-.12,.12,1090 / 1095,1.35,8.70,.00,,
,,.0013,-.02,.11,1095 / 1100,-.95,10.95,.00,,
,,-.0013,-.11,.02,1100 / 1105,-.95,10.95,.00,,
,,.0015,-.02,.12,1105 / 1110,-.95,10.95,.00,,
,,-.0015,-.12,.02,1110 / 1115,-.95,10.95,.00,,
,,.00,-.12,.12,1115 / 1120,1.30,8.65,.00,,
,,.0013,-.02,.11,1120 / 1125,3.60,6.40,.00,,
,,.0002,-.01,.02,1125 / 1130,1.35,8.70,.00,,
,,-.0006,-.06,.02,1130 / 1135,-.95,10.95,.00,,
,,.00,-.06,.06,1135 / 1140,-.95,10.95,.00,,
,,-.0008,-.12,.06,1140 / 1145,-.95,10.95,.00,,
,,.0016,-.01,.12,1145 / 1150,-.95,10.95,.00,,
,,-.0016,-.12,.01,1150 / 1155,-.95,10.95,.00,,
,,.00,-.12,.12,1155 / 1160,1.30,8.65,.00,,
,,.00,-.12,.12,1160 / 1165,1.35,8.70,.00,,
,,.00,-.12,.12,1165 / 1170,-.95,10.95,.00,,
,,.0015,-.01,.12,1170 / 1175,-.95,10.95,.00,,
,,-.0015,-.12,.01,1175 / 1180,-.95,10.95,.00,,
,,.00,-.12,.12,1180 / 1185,-.95,10.95,.00,,
,,.00,-.12,.12,1185 / 1190,-.95,10.95,.00,,
,,.00,-.12,.12,1190 / 1195,-.95,10.95,.00,,
,,.0015,-.01,.12,1195 / 1200,1.30,8.65,.00,,
,,-.0015,-.12,.01,1200 / 1205,1.35,8.70,.00,,
,,.00,-.12,.12,1205 / 1210,-.95,10.95,.00,,
,,.00,-.12,.12,1210 / 1215,-.95,10.95,.00,,
,,.00,-.12,.12,1215 / 1220,-.95,10.95,.00,,
,,.0015,-.01,.12,1220 / 1225,-.95,10.95,.00,,
,,-.0014,-.12,.01,1225 / 1230,-.95,10.95,.00,,
,,.00,-.12,.12,1230 / 1235,-.95,10.95,.00,,
,,.00,-.12,.12,1235 / 1240,-.95,10.95,.00,,
,,.00,-.12,.12,1240 / 1245,1.30,8.65,.00,,
,,.0014,-.01,.12,1245 / 1250,1.35,8.70,.00,,
,,-.0014,-.12,.01,1250 / 1255,-.95,10.95,.00,,
,,.00,-.12,.12,1255 / 1260,-.95,10.95,.00,,
,,.00,-.12,.12,1260 / 1265,-.95,10.95,.00,,
,,.00,-.12,.12,1265 / 1270,-.95,10.95,.00,,
,,.0014,-.01,.12,1270 / 1275,-.95,10.95,.00,,
,,.00,-.01,.01,1275 / 1280,-.95,10.95,.00,,
,,-.0014,-.12,.01,1280 / 1285,-.95,10.95,.00,,
,,.00,-.12,.12,1285 / 1290,1.30,8.65,.00,,
,,.00,-.12,.12,1290 / 1295,1.35,8.70,.00,,
,,.00,-.12,.12,1295 / 1300,-.95,10.95,.00,,
,,.0014,-.01,.12,1300 / 1305,-.95,10.95,.00,,
,,-.0013,-.12,.01,1305 / 1310,-.95,10.95,.00,,
,,.00,-.12,.12,1310 / 1315,-.95,10.95,.00,,
,,.00,-.12,.12,1315 / 1320,-.95,10.95,.00,,
,,.0009,-.04,.12,1320 / 1325,-.95,10.95,.00,,
,,-.0009,-.12,.04,1325 / 1330,-.95,10.95,.00,,
,,.00,-.12,.12,1330 / 1335,-.95,10.95,.00,,
,,.00,-.12,.12,1335 / 1340,1.30,8.65,.00,,
,,.00,-.12,.12,1340 / 1345,1.35,8.70,.00,,
,,.0013,-.01,.12,1345 / 1350,-.95,10.95,.00,,
,,.00,-.01,.01,1350 / 1355,-.95,10.95,.00,,
,,.00,-.01,.01,1355 / 1360,-.95,10.95,.00,,
,,.00,-.01,.01,1360 / 1365,-.95,10.95,.00,,
,,.00,-.01,.01,1365 / 1375,4.05,15.95,.00,,

16 JUL 21  (10)  100
,,Delta,Bid,Ask,Strike,Bid,Ask,Delta,,
,,.00,48.60,51.35,50 / 100,-.01,.01,.00,,
,,.00,48.65,51.40,100 / 150,.01,.04,-.0003,,
,,.00,48.55,51.30,150 / 200,-.01,.04,-.0003,,
,,.1385,48.50,51.30,200 / 250,.04,.11,-.0010,,
,,-.1385,8.65,11.40,250 / 260,-.02,.14,-.0007,,
,,.1351,.60,3.35,260 / 262,-.23,.22,.00,,
,,-.1351,.65,3.40,262 / 264,-.19,.22,-.0002,,
,,.1334,2.55,5.30,264 / 268,-.23,.21,.0001,,
,,-.0006,.60,3.40,268 / 270,-.23,.28,-.0003,,
,,-.0006,.60,3.40,270 / 272,-.27,.24,.0001,,
,,-.0006,.65,3.40,272 / 274,-.36,.37,-.0001,,
,,-.0006,.60,3.35,274 / 276,-.18,.38,-.0011,,
,,-.0006,.60,3.35,276 / 278,-.21,.09,.0006,,
,,-.0006,.60,3.35,278 / 280,-.13,.22,-.0005,,
,,-.0006,.60,3.40,280 / 282,-.36,.25,.0006,,
,,-.0006,.60,3.40,282 / 284,-.36,.27,.0005,,
,,-.0006,.65,3.40,284 / 286,-.25,.26,-.0001,,
,,-.0006,.60,3.35,286 / 288,-.24,.38,-.0008,,
,,-.0012,2.55,5.35,288 / 292,-.35,.29,.0003,,
,,-.0006,.65,3.40,292 / 294,-.26,.38,-.0007,,
,,-.0006,.65,3.35,294 / 296,-.36,.38,-.0001,,
,,-.0006,.60,3.35,296 / 298,-.37,.37,.00,,
,,-.0006,.60,3.35,298 / 300,-.17,.24,-.0004,,
,,-.0006,.60,3.35,300 / 302,-.22,.19,.0001,,
,,-.0006,.60,3.40,302 / 304,-.36,.38,-.0001,,
,,-.0003,-.40,2.40,304 / 305,-.36,.38,-.0001,,
,,-.0004,-.30,2.40,305 / 306,-.37,.37,.00,,
,,-.0005,.60,3.30,306 / 308,-.36,.38,-.0001,,
,,-.0006,.60,3.35,308 / 310,-.28,.24,.0002,,
,,-.0006,.60,3.35,310 / 312,-.22,.30,-.0005,,
,,-.0006,.60,3.40,312 / 314,-.35,.39,-.0003,,
,,-.0003,-.35,2.40,314 / 315,-.37,.37,.00,,
,,-.0003,-.40,2.35,315 / 316,-.36,.38,-.0001,,
,,-.0006,.60,3.35,316 / 318,-.36,.38,-.0002,,
,,-.0006,.60,3.35,318 / 320,-.28,.22,.0003,,
,,-.0007,.70,3.40,320 / 322,-.20,.30,-.0006,,
,,-.0005,.60,3.30,322 / 324,-.35,.39,-.0003,,
,,-.0003,-.35,2.40,324 / 325,-.37,.37,.00,,
,,-.0002,-.40,2.30,325 / 326,-.36,.38,-.0001,,
,,-.0006,.60,3.35,326 / 328,-.35,.38,-.0002,,
,,-.0007,.70,3.40,328 / 330,-.36,.26,.0005,,
,,-.0005,.60,3.30,330 / 332,-.24,.39,-.0009,,
,,-.0005,.55,3.35,332 / 334,-.36,.38,-.0002,,
,,-.0003,-.40,2.40,334 / 335,-.36,.38,-.0001,,
,,-.0003,-.40,2.40,335 / 336,-.36,.38,-.0001,,
,,-.0003,-.40,2.40,336 / 337,-.37,.37,.00,,
,,-.0003,-.40,2.40,337 / 338,-.36,.38,-.0001,,
,,-.0003,-.35,2.40,338 / 339,-.36,.38,-.0001,,
,,-.0002,-.45,2.35,339 / 340,-.37,.38,-.0001,,
,,-.0003,-.45,2.40,340 / 341,-.37,.38,-.0001,,
,,-.0003,-.40,2.40,341 / 342,-.36,.38,-.0001,,
,,-.0003,-.40,2.40,342 / 343,-.36,.38,-.0001,,
,,-.0003,-.40,2.40,343 / 344,-.37,.37,.00,,
,,-.0004,-.30,2.40,344 / 345,-.36,.38,-.0001,,
,,-.0003,-.35,2.30,345 / 346,-.22,.38,-.0009,,
,,-.0002,-.45,2.35,346 / 347,-.36,.24,.0006,,
,,-.0002,-.45,2.40,347 / 348,-.24,.38,-.0008,,
,,-.0003,-.40,2.40,348 / 349,-.37,.14,.0012,,
,,-.0003,-.40,2.40,349 / 350,-.08,.22,-.0008,,
,,-.0002,-.45,2.40,350 / 351,-.20,.21,-.0001,,
,,-.0004,-.35,2.45,351 / 352,-.36,.38,-.0001,,
,,-.0002,-.45,2.35,352 / 353,-.36,.38,-.0001,,
,,-.0002,-.45,2.40,353 / 354,-.36,.26,.0005,,
,,-.0003,-.40,2.40,354 / 355,-.23,.24,-.0001,,
,,-.0002,-.45,2.40,355 / 356,-.22,.37,-.0009,,
,,-.0003,-.45,2.45,356 / 357,-.22,.23,-.0001,,
,,-.0004,-.35,2.45,357 / 358,-.03,.10,-.0004,,
,,-.0002,-.45,2.35,358 / 359,-.23,.05,.0010,,
,,-.0002,-.45,2.40,359 / 360,-.06,.25,-.0011,,
,,-.0002,-.45,2.40,360 / 361,-.23,.11,.0006,,
,,-.0003,-.45,2.45,361 / 362,-.25,.38,-.0008,,
,,-.0004,-.35,2.45,362 / 363,-.36,.38,-.0002,,
,,-.0002,-.45,2.35,363 / 364,-.25,.38,-.0008,,
,,-.0002,-.45,2.40,364 / 365,-.36,.18,.0009,,
,,-.0002,-.45,2.40,365 / 366,-.27,.39,-.0007,,
,,-.0003,-.40,2.45,366 / 367,-.37,.27,.0005,,
,,-.0003,-.35,2.40,367 / 368,-.25,.27,-.0002,,
,,-.0002,-.45,2.35,368 / 369,-.25,.27,-.0002,,
,,-.0002,-.50,2.40,369 / 370,-.04,.27,-.0013,,
,,-.0003,-.45,2.45,370 / 371,-.24,.06,.0009,,
,,-.0003,-.45,2.45,371 / 372,-.10,.24,-.0008,,
,,-.0003,-.40,2.45,372 / 373,-.22,.12,.0005,,
,,-.0002,-.50,2.40,373 / 374,-.10,.26,-.0009,,
,,-.0002,-.50,2.45,374 / 375,-.13,.25,-.0007,,
,,-.0003,-.45,2.45,375 / 376,-.36,.17,.0010,,
,,-.0004,-.35,2.45,376 / 377,-.25,.38,-.0008,,
,,-.0001,-.50,2.35,377 / 378,-.36,.38,-.0002,,
,,-.0002,-.50,2.45,378 / 379,-.36,.26,.0005,,
,,-.0003,-.45,2.45,379 / 380,-.05,.30,-.0014,,
,,-.0003,-.45,2.45,380 / 381,-.27,.20,.0003,,
,,-.0003,-.40,2.45,381 / 382,-.36,.38,-.0002,,
,,-.0001,-.50,2.35,382 / 383,-.36,.38,-.0002,,
,,-.0003,-.45,2.45,383 / 384,-.22,.26,-.0003,,
,,-.0003,-.45,2.45,384 / 385,-.23,.25,-.0002,,
,,-.0003,-.40,2.45,385 / 386,-.36,.27,.0004,,
