This document was exported from the paperMoney® platform which provides a simulated trading environment. All data contained herein is for educational and entertainment purposes only. TD Ameritrade its subsidiaries and/or affiliates are not responsible for the accuracy of any of these exported data.

thinkBack: Stock quote and option quote for TSLA using Vertical template on 9/8/21 00:59:59

UNDERLYING
Last,Net Chng,Volume,Open,High,Low
752.92,+19.35,"20,039,825",740.00,760.20,739.26

10 SEP 21  (3)  100 (Weeklys)
,,Delta,Bid,Ask,Strike,Bid,Ask,Delta,,
,,.00,.35,3.65,98 / 100,-.04,.01,.0001,,
,,.00,.35,3.65,100 / 102,-.01,.04,-.0001,,
,,.00,.35,3.65,102 / 104,-.04,.04,.00,,
,,.00,.35,3.65,104 / 106,-.04,.04,.00,,
,,.00,.35,3.65,106 / 108,-.04,.04,.00,,
,,.00,.35,3.65,108 / 110,-.04,.02,.0001,,
,,.00,.35,3.65,110 / 112,-.02,.04,-.0001,,
,,.00,.35,3.65,112 / 114,-.04,.04,.00,,
,,.00,.35,3.65,114 / 116,-.04,.04,.00,,
,,.00,.35,3.65,116 / 118,-.04,.04,.00,,
,,.00,.35,3.65,118 / 120,-.04,.01,.0001,,
,,.00,.35,3.65,120 / 122,-.01,.04,-.0001,,
,,.00,.35,3.65,122 / 124,-.04,.04,.00,,
,,.00,.35,3.65,124 / 126,-.04,.04,.00,,
,,.00,.35,3.65,126 / 128,-.04,.04,.00,,
,,.00,.35,3.65,128 / 130,-.04,.02,.0001,,
,,.00,.35,3.65,130 / 132,-.02,.04,-.0001,,
,,.00,.35,3.65,132 / 134,-.04,.04,.00,,
,,.00,.35,3.65,134 / 136,-.04,.04,.00,,
,,.00,.35,3.65,136 / 138,-.04,.04,.00,,
,,.00,.35,3.65,138 / 140,-.04,.04,.00,,
,,.00,.35,3.65,140 / 142,-.04,.04,.00,,
,,.00,.35,3.65,142 / 144,-.04,.04,.00,,
,,.00,.35,3.65,144 / 146,-.04,.04,.00,,
,,.00,.35,3.65,146 / 148,-.04,.04,.00,,
,,.00,.35,3.65,148 / 150,-.04,.02,.0001,,
,,.00,.35,3.65,150 / 152,-.02,.05,-.0001,,
,,.00,.35,3.65,152 / 154,-.05,.05,.00,,
,,.00,.35,3.65,154 / 156,-.05,.05,.00,,
,,.00,.35,3.65,156 / 158,-.05,.05,.00,,
,,.00,.35,3.55,158 / 160,-.05,.05,.00,,
,,.00,.45,3.65,160 / 162,-.05,.05,.00,,
,,.00,.35,3.65,162 / 164,-.05,.05,.00,,
,,.00,.35,3.65,164 / 166,-.05,.05,.00,,
,,.00,.35,3.65,166 / 168,-.05,.03,.0001,,
,,.00,.35,3.65,168 / 170,-.03,.05,-.0001,,
,,.00,.35,3.65,170 / 172,-.05,.05,.00,,
,,.00,.35,3.65,172 / 174,-.05,.05,.00,,
,,.00,.35,3.65,174 / 176,-.05,.05,.00,,
,,.00,.35,3.65,176 / 178,-.05,.05,.00,,
,,.00,.35,3.65,178 / 180,-.05,.05,.00,,
,,.00,.35,3.60,180 / 182,-.05,.05,.00,,
,,.00,.40,3.60,182 / 184,-.05,.05,.00,,
,,.00,.40,3.60,184 / 186,-.05,.05,.00,,
,,.00,.40,3.60,186 / 188,-.05,.05,.00,,
,,.00,.40,3.60,188 / 190,-.05,.05,.00,,
,,.00,.40,3.60,190 / 192,-.05,.05,.00,,
,,.00,.40,3.60,192 / 194,-.05,.05,.00,,
,,.00,.40,3.60,194 / 196,-.05,.05,.00,,
,,.00,.40,3.60,196 / 198,-.05,.05,.00,,
,,.00,-.60,2.60,198 / 199,-.05,.05,.00,,
,,.00,-.60,2.60,199 / 200,-.04,.03,.0001,,
,,.00,-.60,2.60,200 / 201,-.03,.04,-.0001,,
,,.00,-.60,2.60,201 / 202,-.05,.05,.00,,
,,.00,-.60,2.60,202 / 203,-.05,.05,.00,,
,,.00,-.60,2.60,203 / 204,-.05,.05,.00,,
,,.00,2.40,5.60,204 / 208,-.05,.05,.00,,
,,.00,.40,3.60,208 / 210,-.05,.05,.00,,
,,.00,.40,3.60,210 / 212,-.05,.05,.00,,
,,.00,2.40,5.60,212 / 216,-.05,.05,.00,,
,,.00,2.40,5.65,216 / 220,-.05,.06,-.0001,,
,,.00,2.35,5.65,220 / 224,-.06,.05,.00,,
,,.00,2.35,5.65,224 / 228,-.05,.06,-.0001,,
,,.00,.35,3.65,228 / 230,-.06,.05,.0001,,
,,.00,.35,3.65,230 / 232,-.05,.05,.00,,
,,.00,2.35,5.65,232 / 236,-.05,.05,.00,,
,,.00,2.35,5.65,236 / 240,-.05,.05,.00,,
,,.00,2.35,5.60,240 / 244,-.05,.05,.00,,
,,.00,2.40,5.60,244 / 248,-.05,.06,-.0001,,
