This document was exported from the paperMoney® platform which provides a simulated trading environment. All data contained herein is for educational and entertainment purposes only. TD Ameritrade its subsidiaries and/or affiliates are not responsible for the accuracy of any of these exported data.

thinkBack: Stock quote and option quote for TSLA using Vertical template on 5/4/21 00:59:59

UNDERLYING
Last,Net Chng,Volume,Open,High,Low
684.90,-24.54,"27,043,143",703.80,706.00,680.50

7 MAY 21  (4)  100 (Weeklys)
,,Delta,Bid,Ask,Strike,Bid,Ask,Delta,,
,,.0035,1.25,18.45,490 / 500,.01,.23,-.0030,,
,,-.0055,2.30,18.40,500 / 510,.02,.22,-.0032,,
,,.0161,1.35,17.00,510 / 520,.08,.28,-.0045,,
,,.0154,1.75,16.45,520 / 530,.05,.29,-.0046,,
,,-.0143,3.95,18.15,530 / 540,.11,.36,-.0061,,
,,.0133,1.45,17.30,540 / 550,.11,.59,-.0085,,
,,.0081,1.50,17.90,550 / 560,.03,.74,-.0095,,
,,.0104,1.55,17.65,560 / 570,-.03,.72,-.0095,,
,,.0120,1.65,17.45,570 / 580,.05,.65,-.0104,,
,,.0149,1.70,17.15,580 / 590,.35,1.10,-.0173,,
,,.0088,-2.85,12.15,590 / 595,-.20,.90,-.0088,,
,,.0099,-2.70,11.90,595 / 600,-.10,.60,-.0077,,
,,.0109,-2.55,11.65,600 / 605,.20,1.00,-.0131,,
,,.0123,-2.40,11.35,605 / 610,-.30,.80,-.0086,,
,,.0134,-2.20,11.05,610 / 615,.35,1.10,-.0155,,
,,.0147,-2.05,10.75,615 / 620,.05,1.30,-.0151,,
,,.0161,-1.85,10.40,620 / 625,0,1.70,-.0176,,
,,.0174,-1.65,10.05,625 / 630,.10,1.15,-.0155,,
,,.0192,-1.50,9.65,630 / 635,.60,1.70,-.0216,,
,,.0207,-1.30,9.25,635 / 640,.20,1.55,-.0193,,
,,.0109,-3.10,7.00,640 / 642.5,-.40,1.45,-.0107,,
,,.0112,-2.95,6.80,642.5 / 645,-.30,1.90,-.0131,,
,,.0118,-2.85,6.60,645 / 647.5,-.75,1.55,-.0100,,
,,.0119,-2.70,6.45,647.5 / 650,-.80,2.10,-.0121,,
,,.0147,-2.60,5.55,650 / 652.5,-.85,2.20,-.0124,,
,,.0108,-1.80,6.00,652.5 / 655,-.35,1.50,-.0120,,
,,.0132,-2.35,5.85,655 / 657.5,.55,1.10,-.0137,,
,,.0135,-2.25,5.65,657.5 / 660,.45,1.00,-.0132,,
,,.0115,-1.10,5.45,660 / 662.5,.60,1.15,-.0142,,
,,.0165,-2.00,4.25,662.5 / 665,.60,1.10,-.0141,,
,,.0129,-1.05,5.10,665 / 667.5,.65,1.15,-.0145,,
,,.0161,-1.00,3.25,667.5 / 670,.70,1.20,-.0148,,
,,.0140,-.15,3.95,670 / 672.5,.75,1.25,-.0150,,
,,.0160,-1.65,3.85,672.5 / 675,.80,1.30,-.0152,,
,,.0153,-1.55,4.40,675 / 677.5,.80,1.30,-.0154,,
,,.0156,-1.45,3.40,677.5 / 680,.85,1.35,-.0155,,
,,.0154,.40,3.35,680 / 682.5,.85,1.40,-.0157,,
,,.0156,.20,2.20,682.5 / 685,.90,1.50,-.0158,,
,,.0158,.65,1.95,685 / 687.5,-.25,3.00,-.0157,,
,,.0158,.90,1.50,687.5 / 690,-1.20,4.30,-.0153,,
,,.0159,.95,1.50,690 / 692.5,-1.25,3.95,-.0156,,
,,.0156,.80,1.35,692.5 / 695,-1.55,4.10,-.0159,,
,,.0157,.80,1.40,695 / 697.5,-2.00,4.45,-.0163,,
,,.0157,.80,1.35,697.5 / 700,-1.30,5.05,-.0137,,
,,.0155,.75,1.25,700 / 702.5,-2.15,4.45,-.0170,,
,,.0157,.85,1.20,702.5 / 705,-2.35,5.35,-.0155,,
,,.0144,.60,1.00,705 / 707.5,-2.25,4.35,-.0186,,
,,.0151,.60,1.20,707.5 / 710,-.95,5.60,-.0102,,
,,.0152,.60,1.20,710 / 712.5,-2.75,5.65,-.0162,,
,,.0143,.50,1.05,712.5 / 715,-2.80,6.25,-.0143,,
,,.0141,.50,1.00,715 / 717.5,-2.95,6.40,-.0143,,
