This document was exported from the paperMoney® platform which provides a simulated trading environment. All data contained herein is for educational and entertainment purposes only. TD Ameritrade its subsidiaries and/or affiliates are not responsible for the accuracy of any of these exported data.

thinkBack: Stock quote and option quote for TSLA using Vertical template on 2/2/21 00:59:59

UNDERLYING
Last,Net Chng,Volume,Open,High,Low
839.81,+46.28,"25,391,385",814.29,842.00,795.5601

5 FEB 21  (4)  100 (Weeklys)
,,Delta,Bid,Ask,Strike,Bid,Ask,Delta,,
,,.0095,.05,.65,895 / 897.5,1.30,3.00,-.0096,,
,,.0086,.10,.50,897.5 / 900,1.35,3.00,-.0091,,
,,.0089,.10,.55,900 / 902.5,1.40,3.00,-.0086,,
,,.0080,-.05,.60,902.5 / 905,1.35,3.05,-.0085,,
,,.0074,-.05,.55,905 / 907.5,1.35,3.15,-.0075,,
,,.0073,-.05,.55,907.5 / 910,1.35,3.15,-.0074,,
,,.0130,.15,.70,910 / 915,3.75,5.50,-.0121,,
,,.0117,.10,.65,915 / 920,3.75,5.45,-.0123,,
,,.0098,0,.60,920 / 925,3.85,5.60,-.0094,,
,,.0091,.01,.55,925 / 930,3.80,5.60,-.0096,,
,,.0078,-.01,.47,930 / 935,3.90,5.65,-.0078,,
,,.0070,-.03,.44,935 / 940,3.85,5.65,-.0081,,
,,.0063,-.05,.41,940 / 945,3.95,5.80,-.0050,,
,,.0067,.05,.37,945 / 950,3.85,5.75,-.0066,,
,,.0037,-.08,.25,950 / 955,3.95,5.85,-.0041,,
,,.0056,-.01,.36,955 / 960,4.00,5.80,-.0039,,
,,.0123,.17,.45,960 / 980,18.15,21.10,-.0138,,
,,.0085,.13,.30,980 / 1000,17.70,21.50,-.0130,,
,,.0085,.19,.28,1000 / 1025,23.10,26.60,-.0064,,
,,.0069,.14,.28,1025 / 1050,23.20,26.80,-.0020,,
,,.0037,-.03,.22,1050 / 1075,22.90,26.85,-.0044,,
,,.0041,.03,.24,1075 / 1100,22.80,27.00,-.0034,,
,,.0007,-.01,.04,1100 / 1110,7.90,11.45,-.0081,,
,,.0017,.04,.09,1110 / 1120,8.55,11.70,.0029,,
,,.0014,0,.10,1120 / 1130,8.15,11.65,-.0026,,
,,.0010,-.04,.11,1130 / 1140,8.20,11.65,-.0021,,
,,.0007,-.06,.10,1140 / 1150,8.30,11.50,-.0028,,
,,.0011,-.03,.11,1150 / 1160,8.60,11.75,.0044,,
,,.0001,-.11,.10,1160 / 1170,8.20,11.55,-.0032,,
,,.0006,-.13,.17,1170 / 1180,8.20,12.05,.0029,,
,,.0017,-.05,.19,1180 / 1190,7.85,11.60,-.0076,,
,,-.0003,-.07,.03,1190 / 1200,8.40,12.10,.0068,,
,,.0013,.01,.10,1200 / 1210,7.90,11.55,-.0068,,
,,.0002,-.10,.11,1210 / 1220,8.45,12.05,.0060,,
,,.0008,-.07,.13,1220 / 1230,8.00,11.65,-.0043,,
,,-.0002,-.10,.07,1230 / 1240,8.30,11.95,.0031,,
,,.0003,-.09,.11,1240 / 1250,7.90,11.55,-.0047,,
,,.0002,-.06,.07,1250 / 1260,8.45,11.65,.00,,
,,.0007,-.01,.07,1260 / 1270,8.40,11.50,.00,,
,,-.0001,-.10,.08,1270 / 1280,8.45,11.55,.00,,
,,.0003,-.11,.13,1280 / 1290,8.45,12.00,.0033,,
,,.0003,-.05,.07,1290 / 1300,8.00,12.00,.00,,
,,.0001,-.06,.06,1300 / 1310,8.00,12.00,.00,,
,,.0003,-.10,.12,1310 / 1320,7.95,12.00,-.0006,,
,,.0005,-.07,.11,1320 / 1330,7.95,12.00,-.0006,,
,,-.0001,-.10,.09,1330 / 1340,8.00,11.60,-.0021,,
,,.0010,-.03,.12,1340 / 1350,8.30,12.00,.0008,,
,,-.0004,-.07,.03,1350 / 1360,8.00,12.10,.0012,,
,,.0001,-.05,.06,1360 / 1370,8.00,11.55,-.0020,,
,,-.0001,-.04,.03,1370 / 1380,8.35,11.50,.00,,
,,.0010,.01,.08,1380 / 1390,8.50,11.75,.00,,
,,-.0005,-.07,.02,1390 / 1400,8.25,12.00,.0007,,
,,-.0003,-.10,.07,1400 / 1410,7.90,11.75,-.0007,,
,,.0009,-.03,.12,1410 / 1420,8.25,11.60,.00,,
,,-.0001,-.03,.02,1420 / 1430,8.40,12.00,.00,,
,,.0001,-.04,.05,1430 / 1440,8.10,11.95,.00,,
,,-.0004,-.11,.07,1440 / 1450,8.00,11.50,.00,,
,,.0008,-.06,.14,1450 / 1460,6.70,11.65,.00,,
,,-.0001,-.10,.09,1460 / 1470,8.45,13.80,.0012,,
,,.00,-.06,.06,1470 / 1480,7.95,12.05,.00,,
,,.0006,-.01,.06,1480 / 1490,7.95,12.05,.00,,
,,-.0003,-.05,.02,1490 / 1500,5.40,14.35,-.0012,,
,,.0002,-.01,.02,1500 / 1600,95.65,104.05,.00,,
,,.0002,0,.02,1600 / 1700,96.30,104.20,.0006,,

12 FEB 21  (11)  100 (Weeklys)
,,Delta,Bid,Ask,Strike,Bid,Ask,Delta,,
,,.0002,47.85,51.95,200 / 250,0,.03,-.0002,,
,,.00,47.90,52.10,250 / 300,.01,.12,-.0007,,
,,.0012,47.75,52.05,300 / 350,-.07,.11,-.0004,,
,,.00,7.90,12.10,350 / 360,-.07,.12,-.0003,,
,,.0006,7.85,12.05,360 / 370,-.07,.13,-.0004,,
,,.0001,7.90,12.10,370 / 380,-.08,.13,-.0003,,
,,.0011,7.80,12.00,380 / 390,-.14,.22,-.0005,,
,,.0006,7.80,12.10,390 / 400,-.17,.19,-.0002,,
,,-.0001,7.95,12.10,400 / 410,-.08,.16,-.0005,,
,,.0009,7.85,12.00,410 / 420,-.10,.15,-.0004,,
,,.0006,7.80,12.10,420 / 430,-.09,.17,-.0005,,
,,.0002,7.90,12.10,430 / 440,-.15,.24,-.0006,,
,,.0012,7.80,12.00,440 / 450,-.17,.20,-.0003,,
,,.0005,7.85,12.10,450 / 460,-.09,.16,-.0006,,
,,.0008,7.85,12.05,460 / 470,-.06,.16,-.0007,,
,,.00,7.95,12.10,470 / 480,-.04,.14,-.0008,,
,,.0013,7.80,12.00,480 / 490,-.07,.13,-.0006,,
,,.00,7.95,12.10,490 / 500,-.05,.16,-.0009,,
,,.0014,7.85,11.95,500 / 510,-.05,.16,-.0009,,
,,.0009,7.85,12.05,510 / 520,-.05,.17,-.0010,,
,,.0004,7.95,12.05,520 / 530,-.04,.17,-.0011,,
,,.0035,7.95,11.50,530 / 540,-.04,.18,-.0012,,
,,-.0012,8.35,11.95,540 / 550,-.05,.25,-.0017,,
,,.0020,7.80,11.95,550 / 560,-.10,.30,-.0017,,
,,.0038,7.90,11.55,560 / 570,-.14,.26,-.0013,,
,,-.0007,8.30,11.95,570 / 580,-.09,.28,-.0018,,
,,.0049,7.80,11.50,580 / 590,-.08,.28,-.0020,,
,,-.0011,8.35,12.00,590 / 600,-.04,.29,-.0024,,
,,.0049,2.80,6.45,600 / 605,-.14,.22,-.0010,,
,,-.0024,3.45,7.05,605 / 610,-.13,.25,-.0013,,
,,.0039,2.95,6.50,610 / 615,-.11,.28,-.0016,,
,,-.0009,3.40,6.85,615 / 620,-.14,.28,-.0014,,
,,.0031,3.00,6.60,620 / 625,-.12,.30,-.0017,,
,,.0001,3.15,6.95,625 / 630,-.14,.27,-.0015,,
,,.0041,2.90,6.55,630 / 635,-.14,.28,-.0016,,
,,-.0008,3.35,6.90,635 / 640,-.12,.31,-.0019,,
,,.0051,2.95,6.35,640 / 645,-.11,.32,-.0021,,
,,-.0009,3.40,6.90,645 / 650,-.10,.32,-.0022,,
,,.0059,2.80,6.40,650 / 655,-.11,.32,-.0022,,
,,-.0011,3.45,6.90,655 / 660,-.13,.36,-.0024,,
,,.0012,.50,4.40,660 / 662.5,-.19,.32,-.0013,,
,,.0015,.40,4.45,662.5 / 665,-.16,.32,-.0015,,
,,.0043,.45,3.95,665 / 667.5,-.14,.30,-.0016,,
,,.0009,1.30,3.65,667.5 / 670,-.13,.28,-.0015,,
,,.0025,1.35,3.35,670 / 672.5,-.13,.28,-.0015,,
,,.0013,1.45,3.45,672.5 / 675,-.14,.31,-.0017,,
,,.0016,1.45,3.40,675 / 677.5,-.15,.29,-.0015,,
,,.0022,1.35,3.40,677.5 / 680,-.12,.30,-.0018,,
,,.0019,1.35,3.45,680 / 682.5,-.20,.22,-.0009,,
,,.0014,1.45,3.45,682.5 / 685,-.05,.35,-.0026,,
,,.0020,1.45,3.35,685 / 687.5,-.15,.30,-.0017,,
,,.0023,1.40,3.35,687.5 / 690,-.10,.35,-.0023,,
,,.0015,1.45,3.45,690 / 692.5,-.15,.35,-.0021,,
,,.0030,1.35,3.30,692.5 / 695,-.15,.40,-.0024,,
,,.0021,1.45,3.35,695 / 697.5,-.15,.35,-.0021,,
,,.0030,1.35,3.30,697.5 / 700,0,.35,-.0030,,
,,.0028,1.35,3.35,700 / 702.5,-.10,.25,-.0019,,
,,.0025,1.35,3.40,702.5 / 705,-.10,.40,-.0028,,
,,.0028,1.30,3.40,705 / 707.5,-.10,.40,-.0029,,
,,.0023,1.40,3.40,707.5 / 710,-.10,.40,-.0029,,
,,.0032,1.40,3.25,710 / 712.5,-.10,.40,-.0029,,
,,.0030,1.45,3.25,712.5 / 715,-.05,.45,-.0035,,
,,.0069,3.70,5.55,715 / 720,.10,.60,-.0066,,
,,.0076,3.65,5.50,720 / 725,.15,.60,-.0071,,
,,.0078,3.70,5.45,725 / 730,.25,.70,-.0084,,
,,.0085,3.65,5.40,730 / 735,.20,.75,-.0085,,
,,.0095,3.55,5.35,735 / 740,.25,.85,-.0095,,
,,.0104,3.45,5.30,740 / 745,.30,.90,-.0102,,
,,.0049,1.30,3.15,745 / 747.5,0,.60,-.0052,,
,,.0059,1.20,3.05,747.5 / 750,.05,.60,-.0055,,
,,.0057,1.20,3.10,750 / 752.5,.10,.60,-.0058,,
,,.0058,1.20,3.10,752.5 / 755,.10,.65,-.0060,,
,,.0061,1.20,3.05,755 / 757.5,.05,.65,-.0059,,
,,.0063,1.20,3.00,757.5 / 760,.10,.70,-.0064,,
,,.0064,1.20,3.00,760 / 762.5,.15,.70,-.0067,,
,,.0073,1.15,2.85,762.5 / 765,.15,.70,-.0067,,
,,.0065,1.25,2.95,765 / 767.5,.15,.75,-.0070,,
,,.0074,1.10,2.90,767.5 / 770,.20,.80,-.0074,,
,,.0072,1.15,2.90,770 / 772.5,.20,.80,-.0075,,
,,.0077,1.10,2.85,772.5 / 775,.20,.80,-.0075,,
,,.0077,1.10,2.85,775 / 777.5,.25,.85,-.0079,,
,,.0080,1.10,2.80,777.5 / 780,.25,.85,-.0080,,
,,.0085,1.00,2.75,780 / 782.5,.30,.95,-.0085,,
,,.0084,1.05,2.75,782.5 / 785,.25,1.00,-.0086,,
,,.0087,1.00,2.70,785 / 787.5,.25,1.00,-.0086,,
,,.0085,1.05,2.75,787.5 / 790,.30,1.00,-.0088,,
,,.0091,1.00,2.60,790 / 792.5,.35,1.10,-.0093,,
,,.0093,1.00,2.55,792.5 / 795,.30,1.10,-.0092,,
