This document was exported from the paperMoney® platform which provides a simulated trading environment. All data contained herein is for educational and entertainment purposes only. TD Ameritrade its subsidiaries and/or affiliates are not responsible for the accuracy of any of these exported data.

thinkBack: Stock quote and option quote for TSLA using Vertical template on 6/8/21 00:59:59

UNDERLYING
Last,Net Chng,Volume,Open,High,Low
605.13,+6.08,"22,543,682",591.825,610.00,582.88

11 JUN 21  (4)  100 (Weeklys)
,,Delta,Bid,Ask,Strike,Bid,Ask,Delta,,
,,.00,.85,3.15,52 / 54,-.10,.10,.00,,
,,.00,.85,3.15,54 / 56,-.10,.10,.00,,
,,.00,.60,3.40,56 / 58,-.10,.10,.00,,
,,.00,.60,3.40,58 / 60,-.10,.01,.0003,,
,,.00,.60,3.40,60 / 62,-.01,.05,-.0001,,
,,.00,.60,3.35,62 / 64,-.05,.05,.00,,
,,.00,.65,3.40,64 / 66,-.05,.10,-.0002,,
,,.00,.35,3.65,66 / 68,-.10,.05,.0002,,
,,.00,-.40,2.40,68 / 69,-.05,.10,-.0002,,
,,.00,-.15,2.15,69 / 70,-.10,.01,.0003,,
,,.00,-.15,2.15,70 / 71,-.01,.10,-.0003,,
,,.00,-.15,2.15,71 / 72,-.10,.10,.00,,
,,.00,-.15,2.15,72 / 73,-.10,.10,.00,,
,,.00,-.40,2.40,73 / 74,-.10,.10,.00,,
,,.00,-.40,2.40,74 / 75,-.10,.02,.0003,,
,,.00,-.15,2.15,75 / 76,-.02,.10,-.0003,,
,,.00,-.15,2.15,76 / 77,-.10,.10,.00,,
,,.00,-.15,2.15,77 / 78,-.10,.10,.00,,
,,.00,-.15,2.15,78 / 79,-.10,.10,.00,,
,,.00,-.15,2.15,79 / 80,-.10,.02,.0003,,
,,.00,-.15,2.15,80 / 81,-.02,.10,-.0003,,
,,.00,-.15,2.15,81 / 82,-.10,.10,.00,,
,,.00,-.40,2.35,82 / 83,-.10,.10,.00,,
,,.00,-.35,2.40,83 / 84,-.10,.05,.0002,,
,,.00,-.15,2.15,84 / 85,-.05,.10,-.0002,,
,,.00,-.15,2.15,85 / 86,-.10,.10,.00,,
,,.00,-.15,2.15,86 / 87,-.10,.10,.00,,
,,.00,-.15,2.15,87 / 88,-.10,.10,.00,,
,,.00,-.15,2.15,88 / 89,-.10,.10,.00,,
,,.00,-.15,2.15,89 / 90,-.10,.10,.00,,
,,.00,-.15,2.15,90 / 91,-.10,.10,.00,,
,,.00,-.40,2.35,91 / 92,-.10,.10,.00,,
,,.00,-.60,2.60,92 / 93,-.10,.10,.00,,
,,.00,-.35,2.40,93 / 94,-.10,.10,.00,,
,,.00,-.15,2.10,94 / 95,-.10,.10,.00,,
,,.00,-.10,2.10,95 / 96,-.10,.10,.00,,
,,.00,-.10,2.10,96 / 97,-.10,.10,.00,,
,,.00,-.10,2.10,97 / 98,-.10,.10,.00,,
,,.00,-.10,2.10,98 / 99,-.10,.10,.00,,
,,.00,-.10,2.10,99 / 100,-.10,.01,.0004,,
,,.00,.65,3.35,100 / 102,-.01,.10,-.0004,,
,,.00,.65,3.35,102 / 104,-.10,.10,.00,,
,,.00,.90,3.10,104 / 106,-.10,.10,.00,,
,,.00,.90,3.10,106 / 108,-.10,.10,.00,,
,,.00,.90,3.10,108 / 110,-.10,.10,.00,,
,,.00,.65,3.35,110 / 112,-.10,.10,.00,,
,,.00,.40,3.60,112 / 114,-.10,.10,.00,,
,,.00,.65,3.35,114 / 116,-.10,.10,.00,,
,,.00,.90,3.10,116 / 118,-.10,.10,.00,,
,,.00,.90,3.10,118 / 120,-.10,.10,.00,,
,,.00,.90,3.10,120 / 122,-.10,.10,.00,,
,,.00,.65,3.35,122 / 124,-.10,.10,.00,,
,,.00,.65,3.35,124 / 126,-.10,.09,.00,,
,,.00,.90,3.10,126 / 128,-.09,.10,-.0001,,
,,.00,.90,3.10,128 / 130,-.10,.01,.0005,,
,,.00,.90,3.10,130 / 132,-.01,.11,-.0005,,
,,.00,.90,3.10,132 / 134,-.11,.11,.00,,
,,.00,.65,3.35,134 / 136,-.11,.05,.0003,,
,,.00,.65,3.35,136 / 138,-.05,.11,-.0003,,
,,.00,.90,3.10,138 / 140,-.11,.01,.0005,,
,,.00,.90,3.10,140 / 142,-.01,.11,-.0005,,
,,.00,.90,3.10,142 / 144,-.11,.11,.00,,
,,.00,.65,3.35,144 / 146,-.11,.11,.00,,
,,.00,.40,3.60,146 / 148,-.11,.11,.00,,
,,.00,.65,3.35,148 / 150,-.11,.03,.0004,,
,,.00,.90,3.10,150 / 152,-.03,.11,-.0004,,
,,.00,.90,3.10,152 / 154,-.11,.11,.00,,
,,.00,.90,3.10,154 / 156,-.10,.10,.00,,
,,.00,.90,3.10,156 / 158,-.10,.09,.00,,
,,.00,.65,3.35,158 / 160,-.10,.05,.0003,,
,,.00,.40,3.60,160 / 162,-.05,.10,-.0003,,
,,.00,.65,3.35,162 / 164,-.10,.10,.00,,
,,.00,.90,3.10,164 / 166,-.10,.10,.00,,
,,.00,.90,3.10,166 / 168,-.09,.10,-.0001,,
,,.00,.90,3.10,168 / 170,-.09,.09,.00,,
,,.00,.90,3.10,170 / 172,-.09,.09,.00,,
,,.00,.90,3.10,172 / 174,-.10,.09,.00,,
,,.00,.90,3.10,174 / 176,-.09,.10,-.0001,,
,,.00,.90,3.10,176 / 178,-.10,.09,.0001,,
,,.00,.90,3.10,178 / 180,-.09,.06,.0002,,
,,.00,.90,3.10,180 / 182,-.06,.09,-.0002,,
,,.00,.90,3.10,182 / 184,-.10,.06,.0002,,
,,.00,.90,3.10,184 / 186,-.06,.10,-.0002,,
,,.00,.90,3.10,186 / 188,-.10,.10,.00,,
,,.00,.90,3.10,188 / 190,-.09,.10,-.0001,,
,,.00,.85,3.10,190 / 192,-.10,.09,.00,,
,,.00,.85,3.15,192 / 194,-.10,.10,.00,,
,,.00,.85,3.15,194 / 196,-.10,.05,.0003,,
,,.00,.85,3.15,196 / 198,-.04,.04,.00,,
,,.00,-.15,2.15,198 / 199,-.04,.04,.00,,
