This document was exported from the paperMoney® platform which provides a simulated trading environment. All data contained herein is for educational and entertainment purposes only. TD Ameritrade its subsidiaries and/or affiliates are not responsible for the accuracy of any of these exported data.

thinkBack: Stock quote and option quote for TSLA using Vertical template on 4/6/21 00:59:59

UNDERLYING
Last,Net Chng,Volume,Open,High,Low
691.05,+29.30,"41,842,767",707.71,708.16,684.70

9 APR 21  (4)  100 (Weeklys)
,,Delta,Bid,Ask,Strike,Bid,Ask,Delta,,
,,.0001,-.01,.02,1275 / 1300,19.60,30.40,-.0001,,
,,.00,-.02,.02,1300 / 1325,19.60,30.40,-.0001,,
,,.0003,-.01,.03,1325 / 1350,19.60,30.40,-.0001,,
,,-.0001,-.02,.01,1350 / 1375,19.60,30.40,-.0001,,
,,.00,-.01,.01,1375 / 1400,19.60,30.40,-.0001,,
,,.0003,0,.02,1400 / 1425,19.60,30.40,-.0001,,

16 APR 21  (11)  100
,,Delta,Bid,Ask,Strike,Bid,Ask,Delta,,
,,.00,24.85,35.15,20 / 50,-.01,.01,.00,,
,,.00,44.85,55.15,50 / 100,-.01,.01,.00,,
,,.00,44.85,55.15,100 / 150,-.01,.02,-.0001,,
,,.00,44.85,55.15,150 / 200,-.01,.03,-.0002,,
,,.00,44.85,55.15,200 / 250,-.01,.03,-.0002,,
,,.00,44.80,55.10,250 / 300,.02,.05,-.0006,,
,,.1143,44.70,53.30,300 / 350,.05,.09,-.0013,,
,,-.1143,46.40,55.00,350 / 400,.10,.20,-.0030,,
,,.0971,4.80,15.10,400 / 410,-.02,.11,-.0009,,
,,-.0025,4.80,15.10,410 / 420,-.04,.10,-.0007,,
,,-.0024,4.80,15.10,420 / 430,-.11,.10,-.0002,,
,,-.0017,6.25,13.00,430 / 440,-.02,.20,-.0018,,
,,-.0021,8.30,11.50,440 / 450,-.01,.14,-.0015,,
,,-.0025,8.40,11.75,450 / 460,.01,.12,-.0015,,
,,-.0018,8.10,11.55,460 / 470,-.05,.12,-.0011,,
,,-.0019,8.20,11.65,470 / 480,.01,.20,-.0024,,
,,-.0017,8.15,11.65,480 / 490,-.03,.16,-.0019,,
,,-.0021,8.20,11.85,490 / 500,.03,.24,-.0032,,
,,-.0022,17.80,21.60,500 / 520,.13,.33,-.0063,,
,,-.0003,17.70,21.55,520 / 540,.27,.60,-.0107,,
,,.0021,7.75,11.55,540 / 550,.04,.42,-.0061,,
,,.0012,3.00,6.70,550 / 555,-.01,.37,-.0043,,
,,.0007,3.20,6.65,555 / 560,-.09,.63,-.0058,,
,,.0040,3.00,6.25,560 / 565,-.28,.69,-.0049,,
,,.0026,3.15,6.45,565 / 570,-.24,.69,-.0054,,
,,.0022,3.15,6.60,570 / 575,-.29,.74,-.0056,,
,,.0042,2.95,6.50,575 / 580,-.20,.57,-.0052,,
,,.0050,2.95,6.45,580 / 585,.10,.80,-.0093,,
,,.0060,2.90,6.40,585 / 590,-.10,.85,-.0083,,
,,.0071,2.85,6.35,590 / 595,-.05,.90,-.0093,,
,,.0085,2.80,6.25,595 / 600,-.25,.65,-.0065,,
,,.0108,2.75,6.00,600 / 605,.15,1.25,-.0134,,
,,.0110,2.85,5.95,605 / 610,-.15,1.25,-.0117,,
,,.0101,3.05,6.00,610 / 615,.20,1.10,-.0132,,
,,.0139,2.65,5.80,615 / 620,.45,1.05,-.0146,,
,,.0159,2.40,5.75,620 / 625,.25,1.25,-.0149,,
,,.0155,2.60,5.70,625 / 630,.35,1.50,-.0170,,
,,.0174,2.50,5.50,630 / 635,.45,1.95,-.0197,,
,,.0186,2.55,5.25,635 / 640,.20,1.80,-.0182,,
,,.0213,2.25,4.95,640 / 645,.55,2.25,-.0216,,
,,.0209,2.30,5.05,645 / 650,.45,1.95,-.0204,,
,,.0223,2.20,4.80,650 / 655,.95,2.50,-.0239,,
,,.0231,2.10,4.75,655 / 660,.55,2.35,-.0226,,
,,.0240,2.10,4.50,660 / 665,1.00,2.55,-.0244,,
,,.0250,1.95,4.20,665 / 670,1.05,2.60,-.0248,,
,,.0253,1.90,4.20,670 / 675,1.20,2.70,-.0255,,
,,.0262,1.65,3.80,675 / 680,1.40,3.10,-.0263,,
,,.0262,1.85,3.70,680 / 685,1.40,3.15,-.0264,,
,,.0266,1.70,3.55,685 / 690,1.60,3.30,-.0266,,
,,.0266,1.45,3.30,690 / 695,1.60,3.55,-.0267,,
,,.0263,1.45,2.90,695 / 700,1.65,3.75,-.0266,,
,,.0267,1.60,3.00,700 / 705,1.75,3.80,-.0267,,
,,.0261,1.25,2.80,705 / 710,1.85,4.15,-.0261,,
,,.0260,1.15,2.75,710 / 715,1.95,4.30,-.0257,,
,,.0269,1.25,2.85,715 / 720,2.00,4.30,-.0257,,
,,.0216,.60,1.75,720 / 725,2.15,4.60,-.0245,,
,,.0256,1.20,2.35,725 / 730,2.20,5.05,-.0228,,
,,.0223,.55,2.10,730 / 735,1.95,5.20,-.0231,,
,,.0226,.55,2.15,735 / 740,2.30,5.30,-.0211,,
,,.0208,.30,2.00,740 / 745,2.30,5.15,-.0219,,
,,.0175,.15,1.55,745 / 750,2.55,5.60,-.0182,,
,,.0208,.45,1.85,750 / 755,2.30,5.45,-.0205,,
,,.0176,-.05,1.80,755 / 760,2.45,5.85,-.0172,,
,,.0187,.15,1.75,760 / 765,2.40,6.00,-.0165,,
,,.0131,.10,1.00,765 / 770,2.50,6.10,-.0151,,
,,.0110,.10,.75,770 / 775,2.50,6.00,-.0159,,
,,.0158,.20,1.30,775 / 780,2.80,6.30,-.0112,,
,,.0106,-.20,1.05,780 / 785,2.70,6.30,-.0118,,
,,.0109,.10,.80,785 / 790,2.70,6.20,-.0127,,
,,.0086,.10,.55,790 / 795,2.90,6.15,-.0114,,
,,.0098,.20,.60,795 / 800,3.15,6.35,-.0072,,
,,.0084,.20,.45,800 / 805,3.00,6.15,-.0104,,
,,.0069,-.05,.56,805 / 810,3.25,6.40,-.0055,,
,,.0085,-.02,.70,810 / 815,3.10,6.40,-.0068,,
,,.0033,-.20,.36,815 / 820,3.20,6.55,-.0042,,
,,.0054,-.11,.49,820 / 825,3.10,6.55,-.0051,,
,,.0060,-.12,.57,825 / 830,3.00,6.35,-.0082,,
,,.0043,-.24,.53,830 / 835,3.25,6.45,-.0044,,
,,.0043,-.23,.53,835 / 840,3.35,6.65,-.0011,,
,,.0035,-.26,.49,840 / 845,3.10,6.40,-.0065,,
,,.0015,-.26,.31,845 / 850,3.30,6.50,-.0031,,
,,.0045,-.11,.45,850 / 855,3.30,6.50,-.0031,,
,,.0037,-.16,.43,855 / 860,3.40,6.70,.0004,,
,,.0011,-.27,.31,860 / 865,3.15,6.45,-.0052,,
,,.0033,-.17,.41,865 / 870,3.35,6.60,-.0012,,
,,.00,-.17,.12,870 / 875,3.35,6.70,.00,,
,,.0038,0,.29,875 / 880,3.25,6.65,-.0017,,
,,.0006,-.19,.20,880 / 885,3.25,6.65,-.0016,,
,,.0024,-.11,.28,885 / 890,3.20,6.50,-.0039,,
,,-.0007,-.19,.09,890 / 895,3.35,6.55,-.0016,,
,,.0011,-.06,.12,895 / 900,3.35,6.50,-.0022,,
,,.0027,-.10,.31,900 / 905,3.40,6.50,-.0015,,
,,.0013,-.24,.32,905 / 910,3.50,6.75,.0026,,
,,.0026,-.17,.34,910 / 920,8.15,11.35,-.0065,,
,,.0018,-.17,.28,920 / 930,8.45,11.40,-.0023,,
,,.0016,-.17,.27,930 / 940,8.60,11.65,.0026,,
,,.0002,-.19,.17,940 / 950,8.30,11.40,-.0039,,
,,.0024,-.09,.27,950 / 960,8.45,11.45,-.0015,,
,,.0011,-.19,.26,960 / 970,8.45,11.35,-.0028,,
,,.0008,-.21,.25,970 / 980,8.60,11.50,.0011,,
,,.0013,-.18,.27,980 / 990,8.45,11.45,-.0014,,
,,-.0010,-.20,.08,990 / 1000,8.55,11.55,.0010,,
,,.0012,-.06,.13,1000 / 1020,16.95,23.60,.0054,,
,,.0018,-.12,.28,1020 / 1025,-2.65,10.25,-.0150,,
,,.0009,-.25,.31,1025 / 1040,9.70,22.60,.0135,,
